Date,Country,App,Platform,Ad Network,Daily Users
22/10/2018,FR,Carz,ios,Ad Network 1,3
19/10/2018,AE,Blast!,ios,Organic,31
17/10/2018,ZM,Blast!,ios,Ad Network 1,2
20/10/2018,US,Blast!,ios,Ad Network 3,5591
16/10/2018,SO,Blast!,ios,Ad Network 1,2
21/10/2018,MX,Bally Ball,ios,Ad Network 2,1
22/10/2018,BR,Screwed,android,Organic,1377
19/10/2018,AT,Blast!,ios,Organic,10
17/10/2018,ES,Blast!,android,Organic,40
17/10/2018,ES,Carz,ios,Organic,2
19/10/2018,LB,Blast!,ios,Ad Network 1,13
21/10/2018,ES,T-Rex,android,Organic,5
21/10/2018,CL,Bally Ball,ios,Ad Network 1,1
21/10/2018,PR,Bally Ball,ios,Organic,3
22/10/2018,NL,Bally Ball,ios,Ad Network 1,1
16/10/2018,SZ,Blast!,android,Organic,1
20/10/2018,US,Carz,android,Organic,83
16/10/2018,KE,Blast!,android,Organic,1
19/10/2018,BO,Carz,ios,Ad Network 1,1
19/10/2018,RE,Blast!,ios,Organic,4
17/10/2018,MX,Blast!,ios,Ad Network 1,673
19/10/2018,PY,Carz,ios,Organic,1
17/10/2018,SA,Blast!,android,Organic,2
21/10/2018,DK,Blast!,ios,Ad Network 1,16
21/10/2018,HT,Blast!,ios,Ad Network 1,1
18/10/2018,FR,Bally Ball,ios,Organic,1
19/10/2018,SE,T-Rex,android,Organic,2
22/10/2018,ME,Blast!,ios,Ad Network 1,3
22/10/2018,DE,Bally Ball,ios,Organic,4
21/10/2018,KZ,Bally Ball,ios,Ad Network 1,2
17/10/2018,AU,Blast!,ios,Organic,111
22/10/2018,FI,T-Rex,android,Organic,2
22/10/2018,SE,Blast!,android,Organic,27
22/10/2018,LU,Blast!,ios,Ad Network 1,6
19/10/2018,DE,Bally Ball,android,Organic,1
18/10/2018,VN,Screwed,android,Organic,2
16/10/2018,SE,Blast!,ios,Ad Network 1,69
16/10/2018,KG,Blast!,ios,Organic,4
19/10/2018,ME,Blast!,android,Organic,1
20/10/2018,ME,Blast!,android,Organic,3
22/10/2018,RO,Blast!,android,Organic,10
22/10/2018,AR,Carz,ios,Organic,302
19/10/2018,QA,Blast!,ios,Organic,8
21/10/2018,SV,Blast!,ios,Organic,2
21/10/2018,MO,Blast!,ios,Organic,1
22/10/2018,HN,Blast!,android,Organic,1
21/10/2018,RO,T-Rex,android,Organic,3
20/10/2018,VE,Carz,ios,Ad Network 1,1
21/10/2018,KR,Blast!,ios,Ad Network 1,87
21/10/2018,ES,Blast!,ios,Organic,91
19/10/2018,BW,Blast!,android,Organic,1
18/10/2018,MY,T-Rex,ios,Organic,1
16/10/2018,un,Blast!,ios,Organic,1
21/10/2018,GR,Blast!,ios,Ad Network 1,32
22/10/2018,BG,Blast!,ios,Ad Network 1,23
21/10/2018,ZA,Blast!,ios,Ad Network 1,19
21/10/2018,SY,Bally Ball,android,Organic,1
17/10/2018,RS,Blast!,ios,Ad Network 1,23
18/10/2018,IN,Bally Ball,ios,Organic,2
18/10/2018,RO,Blast!,ios,Ad Network 1,94
21/10/2018,UY,Blast!,ios,Ad Network 1,11
17/10/2018,MX,Blast!,ios,Ad Network 2,2
20/10/2018,PR,Bally Ball,ios,Ad Network 1,2
16/10/2018,MN,Blast!,ios,Organic,8
22/10/2018,NL,Blast!,ios,Ad Network 2,2
16/10/2018,SE,Carz,ios,Organic,1
17/10/2018,BR,Blast!,android,Organic,116
21/10/2018,HR,Blast!,ios,Organic,1
22/10/2018,ID,Blast!,ios,Organic,31
19/10/2018,HN,T-Rex,ios,Organic,1
16/10/2018,SK,Blast!,ios,Ad Network 1,34
21/10/2018,SI,Blast!,ios,Ad Network 1,8
22/10/2018,IN,Blast!,android,Organic,46
21/10/2018,GE,Blast!,ios,Organic,14
22/10/2018,PT,Screwed,android,Organic,1
17/10/2018,DE,Blast!,ios,Ad Network 1,66
22/10/2018,BS,Blast!,ios,Organic,1
